WIID,Description,Type,Status,Date
68719303,Research Client Check Copy,WI2,Open,2020-04-15
68719322,Verify Account Position,WI1,Open,2021-01-02
68719288,Research Client Check Copy,WI2,Open,2021-03-08
68719302,Research Client Check Copy,WI2,Open,2017-05-21
68719324,Verify Account Position,WI1,Open,2019-02-23
68719330,Verify Account Position,WI1,Open,2018-04-23
68719269,Generate Yearly Report for Vendor,WI4,Open,2019-04-10
68719292,Research Client Check Copy,WI2,Open,2020-07-11
68719305,Research Client Check Copy,WI2,Open,2019-02-14
68719249,Calculate Client Security Hash,WI5,Open,2020-08-03
68719278,Process Vendor Invoice,WI3,Open,2017-12-22
68719257,Generate Yearly Report for Vendor,WI4,Open,2019-04-19
68719293,Research Client Check Copy,WI2,Open,2017-02-02
68719325,Verify Account Position,WI1,Open,2018-12-20
68719272,Process Vendor Invoice,WI3,Open,2017-03-25
68719250,Calculate Client Security Hash,WI5,Open,2020-06-21
68719294,Research Client Check Copy,WI2,Open,2020-05-04
68719290,Research Client Check Copy,WI2,Open,2017-07-06
68719263,Generate Yearly Report for Vendor,WI4,Open,2017-12-15
68719313,Verify Account Position,WI1,Open,2019-03-29
68719319,Verify Account Position,WI1,Open,2021-04-23
68719283,Process Vendor Invoice,WI3,Open,2020-01-06
68719287,Research Client Check Copy,WI2,Open,2020-06-27
68719297,Research Client Check Copy,WI2,Open,2020-12-23
68719318,Verify Account Position,WI1,Open,2019-05-15
68719285,Process Vendor Invoice,WI3,Open,2020-05-30
68719312,Verify Account Position,WI1,Open,2017-02-12
68719315,Verify Account Position,WI1,Open,2020-12-02
68719329,Verify Account Position,WI1,Open,2019-02-24
68719267,Generate Yearly Report for Vendor,WI4,Open,2020-07-04
68719253,Calculate Client Security Hash,WI5,Open,2017-11-01
68719328,Verify Account Position,WI1,Open,2018-10-07
68719264,Generate Yearly Report for Vendor,WI4,Open,2020-01-23
68719252,Calculate Client Security Hash,WI5,Open,2020-09-05
68719284,Process Vendor Invoice,WI3,Open,2020-10-29
68719255,Calculate Client Security Hash,WI5,Open,2020-07-08
68719248,Calculate Client Security Hash,WI5,Open,2020-09-10
68719282,Process Vendor Invoice,WI3,Open,2017-10-20
68719277,Process Vendor Invoice,WI3,Open,2021-02-02
68719266,Generate Yearly Report for Vendor,WI4,Open,2019-02-25
68719258,Generate Yearly Report for Vendor,WI4,Open,2019-07-29
68719281,Process Vendor Invoice,WI3,Open,2020-05-08
68719311,Verify Account Position,WI1,Open,2018-05-14
68719256,Generate Yearly Report for Vendor,WI4,Open,2019-12-29
68719245,Calculate Client Security Hash,WI5,Open,2018-06-11
68719304,Research Client Check Copy,WI2,Open,2017-08-31
68719317,Verify Account Position,WI1,Open,2018-03-05
68719246,Calculate Client Security Hash,WI5,Open,2020-08-07
68719273,Process Vendor Invoice,WI3,Open,2017-11-02
68719323,Verify Account Position,WI1,Open,2019-11-05
68719296,Research Client Check Copy,WI2,Open,2017-02-18
68719309,Research Client Check Copy,WI2,Open,2020-06-16
68719295,Research Client Check Copy,WI2,Open,2020-09-27
68719289,Research Client Check Copy,WI2,Open,2017-08-20
68719326,Verify Account Position,WI1,Open,2018-04-15
68719300,Research Client Check Copy,WI2,Open,2019-09-24
68719271,Generate Yearly Report for Vendor,WI4,Open,2019-04-17
68719275,Process Vendor Invoice,WI3,Open,2020-12-24
68719307,Research Client Check Copy,WI2,Open,2019-01-29
68719291,Research Client Check Copy,WI2,Open,2019-04-14
68719247,Calculate Client Security Hash,WI5,Open,2020-08-30
68719262,Generate Yearly Report for Vendor,WI4,Open,2017-10-11
68719299,Research Client Check Copy,WI2,Open,2019-04-28
68719254,Calculate Client Security Hash,WI5,Open,2020-11-20
68719327,Verify Account Position,WI1,Open,2020-12-25
68719276,Process Vendor Invoice,WI3,Open,2020-09-28
68719316,Verify Account Position,WI1,Open,2018-01-25
68719310,Verify Account Position,WI1,Open,2017-05-02
68719308,Research Client Check Copy,WI2,Open,2019-02-13
68719306,Research Client Check Copy,WI2,Open,2021-03-22
68719260,Generate Yearly Report for Vendor,WI4,Open,2020-05-03
68719261,Generate Yearly Report for Vendor,WI4,Open,2021-02-17
68719280,Process Vendor Invoice,WI3,Open,2017-01-11
68719279,Process Vendor Invoice,WI3,Open,2021-04-10
68719274,Process Vendor Invoice,WI3,Open,2018-10-22
68719270,Generate Yearly Report for Vendor,WI4,Open,2019-11-07
68719320,Verify Account Position,WI1,Open,2019-04-10
68719286,Research Client Check Copy,WI2,Open,2020-01-07
68719314,Verify Account Position,WI1,Open,2019-09-24
68719265,Generate Yearly Report for Vendor,WI4,Open,2020-04-13
68719321,Verify Account Position,WI1,Open,2020-12-14
68719251,Calculate Client Security Hash,WI5,Open,2021-01-08
68719268,Generate Yearly Report for Vendor,WI4,Open,2019-12-13
68719298,Research Client Check Copy,WI2,Open,2020-07-05
68719301,Research Client Check Copy,WI2,Open,2017-04-18
68719259,Generate Yearly Report for Vendor,WI4,Open,2017-07-11
